item_id,label
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_7,"[1, 1, 1, 1, 1]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_1,"[1, 1, 1, 1, 1]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_3,"[0, 1, 0, 0, 0]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 1]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_6,"[0, 0, 0, 0, 0]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
1181-f7bf0c57-4872-4384-b13c-95cffcc09dfe#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_1,"[2, 1, 1, 2, 1]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_3,"[1, 1, 1, 1, 1]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
2080-95ebfe8d-8b21-41d2-948e-58148af1783d#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_1,"[0, 1, 1, 0, 0]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_3,"[2, 2, 1, 2, 2]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_5,"[1, 1, 1, 1, 1]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_6,"[1, 1, 1, 1, 1]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_7,"[1, 1, 1, 1, 1]"
2631-2ca1f142-fa91-4d77-a4e0-c31eb2c420c4#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_1,"[1, 1, 2, 2, 1]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_2,"[1, 1, 1, 1, 1]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_3,"[0, 0, 0, 0, 0]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_4,"[0, 0, 0, 0, 0]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
110-17364b54-c8e8-4f25-8f27-09b65b3cbc1d#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_6,"[0, 0, 0, 0, 0]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
4083-bd87fce0-39d2-4178-9d69-22d673345e19#_#actionability#_#Tutor_8,"[0, 0, 0, 0, 0]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_1,"[0, 0, 0, 0, 0]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_4,"[0, 0, 0, 0, 0]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_6,"[0, 0, 0, 0, 0]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_7,"[2, 1, 1, 1, 2]"
3853-658e7fcc-cf46-48fd-b445-a6fdb02ab2d8#_#actionability#_#Tutor_8,"[0, 0, 0, 0, 0]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_3,"[0, 0, 0, 0, 0]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_6,"[1, 1, 1, 1, 1]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_7,"[0, 0, 0, 0, 0]"
550-797df848-5de6-4462-aed1-6bf02ed33eaa#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_2,"[0, 0, 0, 0, 0]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_6,"[0, 0, 0, 0, 0]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_7,"[0, 0, 0, 0, 0]"
2752-2f8b27f5-8146-440b-8141-3746b750f947#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_3,"[1, 1, 1, 1, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_6,"[1, 2, 2, 2, 2]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_7,"[0, 0, 0, 0, 0]"
1391-237ae6b1-151e-4b75-9a71-e98d945e5cb1#_#actionability#_#Tutor_8,"[1, 1, 1, 1, 1]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_2,"[1, 0, 1, 0, 0]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_3,"[1, 1, 1, 1, 1]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_4,"[0, 0, 0, 0, 0]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_5,"[1, 1, 1, 1, 1]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_6,"[1, 1, 0, 1, 1]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
863-c444e7d0-076c-4e3e-95fe-5a19af8802d8#_#actionability#_#Tutor_8,"[1, 1, 1, 0, 1]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_1,"[2, 1, 2, 2, 2]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_2,"[1, 1, 1, 1, 1]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_6,"[1, 1, 1, 1, 1]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_7,"[0, 0, 0, 0, 0]"
5901-5ca8d374-cc1a-4544-a39d-d8d869f20af8#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_6,"[0, 0, 0, 0, 0]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
5314-d36b19fd-e058-46e7-b790-1b5d8e7b6e00#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_5,"[1, 0, 1, 1, 1]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
5718-ab0151d2-2c3d-483c-a75a-7e273ae85599#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_2,"[1, 1, 1, 1, 1]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_4,"[0, 0, 0, 0, 0]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_6,"[1, 1, 1, 2, 1]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
2462-e974ca3c-2303-4b37-80d8-965a11206660#_#actionability#_#Tutor_8,"[1, 2, 2, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_1,"[1, 1, 0, 1, 1]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_3,"[1, 2, 1, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
5131-fc7abc30-01d4-4cc7-9dd4-e8b99338ff8d#_#actionability#_#Tutor_8,"[0, 0, 0, 0, 0]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_1,"[1, 1, 1, 1, 1]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
3735-49ca77ab-9e65-4c87-a632-c703fac115ee#_#actionability#_#Tutor_8,"[0, 0, 1, 0, 1]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_1,"[0, 0, 0, 0, 0]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_3,"[1, 1, 1, 1, 1]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
2290-ca668d8b-af34-4bd4-b70d-261487f57347#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_2,"[1, 1, 2, 2, 1]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
983-eced9c51-c22f-4d30-adb6-4b7adbb51466#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_1,"[0, 0, 0, 0, 1]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_2,"[2, 1, 2, 1, 1]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_4,"[2, 1, 2, 2, 2]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_7,"[0, 0, 0, 0, 0]"
2930-4112b9a0-8ecc-4e3a-a31d-9bc67264e3a9#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_1,"[1, 1, 1, 1, 1]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_3,"[0, 0, 0, 0, 0]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_7,"[2, 1, 2, 1, 2]"
4970-4bebe412-84bc-4af5-b57d-24f7994e48c4#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_1,"[0, 0, 0, 0, 0]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_2,"[0, 0, 0, 0, 0]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_6,"[2, 1, 2, 2, 2]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
291-3fc783b0-a721-43c7-9ea2-d7b3dfdab946#_#actionability#_#Tutor_8,"[2, 1, 2, 2, 2]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_7,"[1, 1, 1, 1, 1]"
842-099dc60b-d90b-4068-aaf0-44ac892e23af#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_4,"[1, 1, 1, 1, 1]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_6,"[0, 0, 0, 0, 0]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
5781-d2a8e298-f89d-4ece-9948-b57d62f1ef08#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
951-8ada539e-903d-4b82-a5e1-69b5ae1ba57e#_#actionability#_#Tutor_1,"[0, 0, 0, 0, 0]"
951-8ada539e-903d-4b82-a5e1-69b5ae1ba57e#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
951-8ada539e-903d-4b82-a5e1-69b5ae1ba57e#_#actionability#_#Tutor_3,"[0, 0, 0, 0, 0]"
951-8ada539e-903d-4b82-a5e1-69b5ae1ba57e#_#actionability#_#Tutor_4,"[0, 0, 0, 0, 0]"
951-8ada539e-903d-4b82-a5e1-69b5ae1ba57e#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
